siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 00:00:00",22
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 00:00:00",0.41
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 00:00:00",18.3
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 00:00:00",2.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 00:00:00",47
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 00:00:00",15.3
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 01:00:00",1.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 01:00:00",0.38
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 01:00:00",14.5
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 01:00:00",45
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 01:00:00",20.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 01:00:00",22
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 02:00:00",25
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 02:00:00",16
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 02:00:00",51
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 02:00:00",16.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 02:00:00",0.36
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 02:00:00",1.3
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 03:00:00",13.8
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 03:00:00",1.4
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 03:00:00",0.35
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 03:00:00",15
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 03:00:00",46
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 03:00:00",19
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 04:00:00",0.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 04:00:00",26
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 04:00:00",12.7
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 04:00:00",46
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 04:00:00",14.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 04:00:00",0.34
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 05:00:00",29
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 05:00:00",0.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 05:00:00",0.33
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 05:00:00",19.6
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 05:00:00",40
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 05:00:00",9.7
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 06:00:00",3.8
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 06:00:00",30
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 06:00:00",13.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 06:00:00",58
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 06:00:00",17.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 06:00:00",0.45
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 07:00:00",40
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 07:00:00",8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 07:00:00",0.52
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 07:00:00",18.7
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 07:00:00",61
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 07:00:00",20
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 08:00:00",26
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 08:00:00",20
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 08:00:00",51
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 08:00:00",29.6
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 08:00:00",0.54
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 08:00:00",2.4
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 09:00:00",2.8
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 09:00:00",18.3
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 09:00:00",42
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 09:00:00",44.4
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 09:00:00",0.51
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 09:00:00",24
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 10:00:00",24
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 10:00:00",2.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-11-01 10:00:00",0.56
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-11-01 10:00:00",x
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-11-01 10:00:00",x
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 10:00:00",18
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-11-01 11:00:00",14.2
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-11-01 11:00:00",x
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-11-01 11:00:00",2.6
