siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 00:00",1.1
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 00:00",2.7
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 00:00",20
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 00:00",31
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 00:00",0.23
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 00:00",75.4
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 01:00",74.4
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 01:00",1.7
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 01:00",0.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 01:00",24
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 01:00",14
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 01:00",0.23
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 02:00",0.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 02:00",0.24
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 02:00",2.1
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 02:00",75.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 02:00",29
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 02:00",19
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 03:00",32
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 03:00",0.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 03:00",0.26
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 03:00",2
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 03:00",78.9
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 03:00",20
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 04:00",1.7
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 04:00",70.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 04:00",0.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 04:00",24
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 04:00",0.25
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 04:00",18
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 05:00",1.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 05:00",0.25
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 05:00",69.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 05:00",28
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 05:00",13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 05:00",0.7
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 06:00",1.4
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 06:00",0.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 06:00",0.19
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 06:00",11
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 06:00",31
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 06:00",65.6
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 07:00",0.8
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 07:00",61.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 07:00",11
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 07:00",25
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 07:00",0.19
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 07:00",1.4
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 08:00",58.3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 08:00",26
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 08:00",0.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 08:00",2.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 08:00",0.19
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 08:00",10
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 09:00",11
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 09:00",23
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 09:00",0.19
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 09:00",61
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 09:00",0.8
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 09:00",2.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 10:00",22
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 10:00",11
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 10:00",2.5
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 10:00",63.7
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 10:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 10:00",0.23
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 11:00",0.26
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 11:00",25
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 11:00",7
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 11:00",3.5
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 11:00",66.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 11:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 12:00",8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 12:00",29
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 12:00",1.2
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 12:00",65.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 12:00",0.26
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 12:00",2.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 13:00",0.21
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 13:00",10
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 13:00",1.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 13:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 13:00",25
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 13:00",65.7
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 14:00",0.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 14:00",0.21
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 14:00",67.6
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 14:00",26
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 14:00",1.6
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 14:00",8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 15:00",0.27
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 15:00",1.1
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 15:00",78.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 15:00",32
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 15:00",10
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 15:00",3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 16:00",28
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 16:00",14
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 16:00",0.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 16:00",3.8
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 16:00",1.2
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 16:00",79.8
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 17:00",15
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 17:00",0.31
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 17:00",85.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 17:00",4.6
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 17:00",50
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 17:00",1.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 18:00",34
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 18:00",1.6
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 18:00",0.31
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 18:00",84.6
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 18:00",16
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 18:00",4.6
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 19:00",77
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 19:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 19:00",14
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 19:00",2.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 19:00",0.25
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 19:00",31
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 20:00",0.22
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 20:00",0.8
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 20:00",11
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 20:00",75
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 20:00",1.4
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 20:00",25
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 21:00",0.8
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 21:00",69.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 21:00",0.22
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 21:00",27
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 21:00",10
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 21:00",0.8
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 22:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 22:00",29
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 22:00",70.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 22:00",15
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 22:00",0.23
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 22:00",0.8
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-01 23:00",66.4
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-01 23:00",x
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 23:00",12
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 23:00",24
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-01 23:00",0.23
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-01 23:00",1.2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 00:00",1.4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 00:00",9.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 00:00",0.24
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 00:00",31.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 00:00",68.2
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 00:00",0.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 01:00",0.8
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 01:00",3.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 01:00",36.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 01:00",69.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 01:00",10.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 01:00",0.28
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 02:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 02:00",34.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 02:00",0.28
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 02:00",68.2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 02:00",3.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 02:00",12.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 03:00",0.8
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 03:00",67.9
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 03:00",0.28
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 03:00",34.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 03:00",3.3
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 03:00",21.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 04:00",0.31
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 04:00",61.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 04:00",28.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 04:00",0.7
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 04:00",2.7
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 04:00",18.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 05:00",2.9
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 05:00",0.31
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 05:00",1.4
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 05:00",62.8
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 05:00",15.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 05:00",27.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 06:00",11.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 06:00",0.26
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 06:00",27.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 06:00",2.8
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 06:00",56.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 06:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 07:00",27.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 07:00",49.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 07:00",1.2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 07:00",2.7
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 07:00",10.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 07:00",0.25
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 08:00",10.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 08:00",21.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 08:00",0.23
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 08:00",47.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 08:00",0.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 08:00",3.8
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 09:00",13.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 09:00",26.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 09:00",0.4
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 09:00",49.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 09:00",0.25
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 09:00",3.9
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 10:00",1.9
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 10:00",15.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 10:00",4.6
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 10:00",0.31
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 10:00",28.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 10:00",57.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 11:00",30.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 11:00",11.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 11:00",0.3
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 11:00",60.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 11:00",3.8
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 11:00",1.9
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 12:00",56.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 12:00",2.7
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 12:00",17.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 12:00",25.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 12:00",1.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 12:00",0.28
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 13:00",21.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 13:00",51.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 13:00",0.26
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 13:00",2.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 13:00",11.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 13:00",1.3
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 14:00",52.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 14:00",1.6
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 14:00",22.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 14:00",16.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 14:00",2.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 14:00",0.25
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-05-02 15:00",23.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-05-02 15:00",1.3
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 15:00",58.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-05-02 15:00",2.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 15:00",0.23
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-02 15:00",14.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-05-02 16:00",0.19
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-05-02 16:00",53.0
